,Region,Name,Year,Series,Value,Category,ISO3
19631,600,Paraguay,2005,GDP real rates of growth (percent),2.1335,GDP,PRY
19638,604,Peru,2005,GDP in current prices (millions of US dollars),76080.4145,GDP,PER
19645,604,Peru,2005,GDP per capita (US dollars),2730.2095,GDP,PER
19652,604,Peru,2005,GDP in constant 2010 prices (millions of US dollars),107741.948,GDP,PER
19659,604,Peru,2005,GDP real rates of growth (percent),6.2851,GDP,PER
19666,608,Philippines,2005,GDP in current prices (millions of US dollars),103071.5977,GDP,PHL
19673,608,Philippines,2005,GDP per capita (US dollars),1193.9775,GDP,PHL
19680,608,Philippines,2005,GDP in constant 2010 prices (millions of US dollars),172627.7762,GDP,PHL
19687,608,Philippines,2005,GDP real rates of growth (percent),4.7777,GDP,PHL
19694,616,Poland,2005,GDP in current prices (millions of US dollars),306126.7508,GDP,POL
19701,616,Poland,2005,GDP per capita (US dollars),7978.5024,GDP,POL
19708,616,Poland,2005,GDP in constant 2010 prices (millions of US dollars),325993.7136,GDP,POL
19715,616,Poland,2005,GDP real rates of growth (percent),3.4937,GDP,POL
19722,620,Portugal,2005,GDP in current prices (millions of US dollars),197175.4266,GDP,PRT
19729,620,Portugal,2005,GDP per capita (US dollars),18763.4315,GDP,PRT
19736,620,Portugal,2005,GDP in constant 2010 prices (millions of US dollars),201835.1915,GDP,PRT
19743,620,Portugal,2005,GDP real rates of growth (percent),0.7818,GDP,PRT
19750,630,Puerto Rico,2005,GDP in current prices (millions of US dollars),83914.5213,GDP,PRI
19757,630,Puerto Rico,2005,GDP per capita (US dollars),23104.9246,GDP,PRI
19764,630,Puerto Rico,2005,GDP in constant 2010 prices (millions of US dollars),113934.9122,GDP,PRI
19771,630,Puerto Rico,2005,GDP real rates of growth (percent),-1.9869,GDP,PRI
19778,634,Qatar,2005,GDP in current prices (millions of US dollars),44530.4995,GDP,QAT
19785,634,Qatar,2005,GDP per capita (US dollars),51455.5999,GDP,QAT
19792,634,Qatar,2005,GDP in constant 2010 prices (millions of US dollars),53064.5934,GDP,QAT
19799,634,Qatar,2005,GDP real rates of growth (percent),7.4917,GDP,QAT
19858,642,Romania,2005,GDP in current prices (millions of US dollars),98454.3745,GDP,ROU
19865,642,Romania,2005,GDP per capita (US dollars),4596.9574,GDP,ROU
19872,642,Romania,2005,GDP in constant 2010 prices (millions of US dollars),133644.0879,GDP,ROU
19879,642,Romania,2005,GDP real rates of growth (percent),4.6681,GDP,ROU
19885,643,Russian Federation,2005,GDP in current prices (millions of US dollars),771495.4233,GDP,RUS
19891,643,Russian Federation,2005,GDP per capita (US dollars),5369.8341,GDP,RUS
19897,643,Russian Federation,2005,GDP in constant 2010 prices (millions of US dollars),1060641.543,GDP,RUS
19903,643,Russian Federation,2005,GDP real rates of growth (percent),6.3762,GDP,RUS
19910,646,Rwanda,2005,GDP in current prices (millions of US dollars),2581.4657,GDP,RWA
19917,646,Rwanda,2005,GDP per capita (US dollars),292.0139,GDP,RWA
19924,646,Rwanda,2005,GDP in constant 2010 prices (millions of US dollars),3859.9491,GDP,RWA
19931,646,Rwanda,2005,GDP real rates of growth (percent),9.3812,GDP,RWA
19938,659,Saint Kitts and Nevis,2005,GDP in current prices (millions of US dollars),547.2037,GDP,KNA
19945,659,Saint Kitts and Nevis,2005,GDP per capita (US dollars),11678.1634,GDP,KNA
19952,659,Saint Kitts and Nevis,2005,GDP in constant 2010 prices (millions of US dollars),780.203,GDP,KNA
19959,659,Saint Kitts and Nevis,2005,GDP real rates of growth (percent),9.7328,GDP,KNA
19966,662,Saint Lucia,2005,GDP in current prices (millions of US dollars),935.463,GDP,LCA
19973,662,Saint Lucia,2005,GDP per capita (US dollars),5724.392,GDP,LCA
19980,662,Saint Lucia,2005,GDP in constant 2010 prices (millions of US dollars),1306.144,GDP,LCA
19987,662,Saint Lucia,2005,GDP real rates of growth (percent),-1.68,GDP,LCA
20022,882,Samoa,2005,GDP in current prices (millions of US dollars),446.7124,GDP,WSM
20029,882,Samoa,2005,GDP per capita (US dollars),2485.5051,GDP,WSM
20036,882,Samoa,2005,GDP in constant 2010 prices (millions of US dollars),702.7652,GDP,WSM
20043,882,Samoa,2005,GDP real rates of growth (percent),5.0556,GDP,WSM
20050,674,San Marino,2005,GDP in current prices (millions of US dollars),2027.4288,GDP,SMR
20057,674,San Marino,2005,GDP per capita (US dollars),69138.8888,GDP,SMR
20064,674,San Marino,2005,GDP in constant 2010 prices (millions of US dollars),2070.4241,GDP,SMR
20071,674,San Marino,2005,GDP real rates of growth (percent),2.3202,GDP,SMR
20078,678,Sao Tome and Principe,2005,GDP in current prices (millions of US dollars),126.1938,GDP,STP
20085,678,Sao Tome and Principe,2005,GDP per capita (US dollars),801.3727,GDP,STP
20092,678,Sao Tome and Principe,2005,GDP in constant 2010 prices (millions of US dollars),197.1277,GDP,STP
20099,678,Sao Tome and Principe,2005,GDP real rates of growth (percent),7.0938,GDP,STP
20106,682,Saudi Arabia,2005,GDP in current prices (millions of US dollars),328461.1605,GDP,SAU
20113,682,Saudi Arabia,2005,GDP per capita (US dollars),13791.5115,GDP,SAU
20120,682,Saudi Arabia,2005,GDP in constant 2010 prices (millions of US dollars),444966.7389,GDP,SAU
20127,682,Saudi Arabia,2005,GDP real rates of growth (percent),5.5739,GDP,SAU
20134,686,Senegal,2005,GDP in current prices (millions of US dollars),11267.0944,GDP,SEN
20141,686,Senegal,2005,GDP per capita (US dollars),1015.9582,GDP,SEN
20148,686,Senegal,2005,GDP in constant 2010 prices (millions of US dollars),12270.3951,GDP,SEN
20155,686,Senegal,2005,GDP real rates of growth (percent),5.6226,GDP,SEN
20161,688,Serbia,2005,GDP in current prices (millions of US dollars),26251.9866,GDP,SRB
20167,688,Serbia,2005,GDP per capita (US dollars),3528.1282,GDP,SRB
20173,688,Serbia,2005,GDP in constant 2010 prices (millions of US dollars),31993.2155,GDP,SRB
20179,688,Serbia,2005,GDP real rates of growth (percent),5.5405,GDP,SRB
20186,690,Seychelles,2005,GDP in current prices (millions of US dollars),919.1029,GDP,SYC
20193,690,Seychelles,2005,GDP per capita (US dollars),10368.005,GDP,SYC
20200,690,Seychelles,2005,GDP in constant 2010 prices (millions of US dollars),875.5257,GDP,SYC
20207,690,Seychelles,2005,GDP real rates of growth (percent),9.0067,GDP,SYC
20214,694,Sierra Leone,2005,GDP in current prices (millions of US dollars),1650.4944,GDP,SLE
20221,694,Sierra Leone,2005,GDP per capita (US dollars),292.3493,GDP,SLE
20228,694,Sierra Leone,2005,GDP in constant 2010 prices (millions of US dollars),2678.9052,GDP,SLE
20235,694,Sierra Leone,2005,GDP real rates of growth (percent),4.5051,GDP,SLE
20242,702,Singapore,2005,GDP in current prices (millions of US dollars),127417.8794,GDP,SGP
20249,702,Singapore,2005,GDP per capita (US dollars),29870.424,GDP,SGP
20256,702,Singapore,2005,GDP in constant 2010 prices (millions of US dollars),177762.1083,GDP,SGP
20263,702,Singapore,2005,GDP real rates of growth (percent),7.4892,GDP,SGP
20288,703,Slovakia,2005,GDP in current prices (millions of US dollars),49033.4275,GDP,SVK
20294,703,Slovakia,2005,GDP per capita (US dollars),9082.0084,GDP,SVK
20300,703,Slovakia,2005,GDP in constant 2010 prices (millions of US dollars),61339.2428,GDP,SVK
20306,703,Slovakia,2005,GDP real rates of growth (percent),6.6235,GDP,SVK
20312,705,Slovenia,2005,GDP in current prices (millions of US dollars),36204.3401,GDP,SVN
20318,705,Slovenia,2005,GDP per capita (US dollars),18147.7572,GDP,SVN
20324,705,Slovenia,2005,GDP in constant 2010 prices (millions of US dollars),38472.4438,GDP,SVN
20330,705,Slovenia,2005,GDP real rates of growth (percent),3.798,GDP,SVN
20337,90,Solomon Islands,2005,GDP in current prices (millions of US dollars),429.476,GDP,SLB
20344,90,Solomon Islands,2005,GDP per capita (US dollars),913.9382,GDP,SLB
20351,90,Solomon Islands,2005,GDP in constant 2010 prices (millions of US dollars),643.9645,GDP,SLB
20358,90,Solomon Islands,2005,GDP real rates of growth (percent),12.8492,GDP,SLB
20365,706,Somalia,2005,GDP in current prices (millions of US dollars),2315.5479,GDP,SOM
20372,706,Somalia,2005,GDP per capita (US dollars),221.6501,GDP,SOM
20379,706,Somalia,2005,GDP in constant 2010 prices (millions of US dollars),1114.5933,GDP,SOM
20385,706,Somalia,2005,GDP real rates of growth (percent),3,GDP,SOM
20392,710,South Africa,2005,GDP in current prices (millions of US dollars),257771.5624,GDP,ZAF
20399,710,South Africa,2005,GDP per capita (US dollars),5383.6326,GDP,ZAF
20406,710,South Africa,2005,GDP in constant 2010 prices (millions of US dollars),244372.1194,GDP,ZAF
20413,710,South Africa,2005,GDP real rates of growth (percent),5.2771,GDP,ZAF
20436,724,Spain,2005,GDP in current prices (millions of US dollars),1153256.977,GDP,ESP
20443,724,Spain,2005,GDP per capita (US dollars),26198.9994,GDP,ESP
20450,724,Spain,2005,GDP in constant 2010 prices (millions of US dollars),1140903.65,GDP,ESP
20457,724,Spain,2005,GDP real rates of growth (percent),3.652,GDP,ESP
20464,144,Sri Lanka,2005,GDP in current prices (millions of US dollars),27931.9719,GDP,LKA
20471,144,Sri Lanka,2005,GDP per capita (US dollars),1429.1117,GDP,LKA
20478,144,Sri Lanka,2005,GDP in constant 2010 prices (millions of US dollars),43875.0042,GDP,LKA
20485,144,Sri Lanka,2005,GDP real rates of growth (percent),6.2417,GDP,LKA
20552,740,Suriname,2005,GDP in current prices (millions of US dollars),2193.0492,GDP,SUR
20559,740,Suriname,2005,GDP per capita (US dollars),4390.8053,GDP,SUR
20566,740,Suriname,2005,GDP in constant 2010 prices (millions of US dollars),3523.2214,GDP,SUR
20573,740,Suriname,2005,GDP real rates of growth (percent),3.9234,GDP,SUR
20580,752,Sweden,2005,GDP in current prices (millions of US dollars),389753.0539,GDP,SWE
20587,752,Sweden,2005,GDP per capita (US dollars),43120.8442,GDP,SWE
20594,752,Sweden,2005,GDP in constant 2010 prices (millions of US dollars),413185.9829,GDP,SWE
20601,752,Sweden,2005,GDP real rates of growth (percent),2.8959,GDP,SWE
20608,756,Switzerland,2005,GDP in current prices (millions of US dollars),408697.0125,GDP,CHE
20615,756,Switzerland,2005,GDP per capita (US dollars),55327.8994,GDP,CHE
20622,756,Switzerland,2005,GDP in constant 2010 prices (millions of US dollars),561952.5117,GDP,CHE
20629,756,Switzerland,2005,GDP real rates of growth (percent),3.1152,GDP,CHE
20663,762,Tajikistan,2005,GDP in current prices (millions of US dollars),2312.3202,GDP,TJK
20669,762,Tajikistan,2005,GDP per capita (US dollars),340.5819,GDP,TJK
20675,762,Tajikistan,2005,GDP in constant 2010 prices (millions of US dollars),4287.8059,GDP,TJK
20681,762,Tajikistan,2005,GDP real rates of growth (percent),6.7179,GDP,TJK
20688,764,Thailand,2005,GDP in current prices (millions of US dollars),189318.4572,GDP,THA
20695,764,Thailand,2005,GDP per capita (US dollars),2894.0612,GDP,THA
20702,764,Thailand,2005,GDP in constant 2010 prices (millions of US dollars),288645.3381,GDP,THA
20709,764,Thailand,2005,GDP real rates of growth (percent),4.1876,GDP,THA
20715,626,Timor-Leste,2005,GDP in current prices (millions of US dollars),1813.7081,GDP,TLS
20721,626,Timor-Leste,2005,GDP per capita (US dollars),1822.575,GDP,TLS
20727,626,Timor-Leste,2005,GDP in constant 2010 prices (millions of US dollars),2184.0176,GDP,TLS
20733,626,Timor-Leste,2005,GDP real rates of growth (percent),35.8801,GDP,TLS
20740,768,Togo,2005,GDP in current prices (millions of US dollars),2280.5756,GDP,TGO
20747,768,Togo,2005,GDP per capita (US dollars),406.4009,GDP,TGO
20754,768,Togo,2005,GDP in constant 2010 prices (millions of US dollars),2623.2461,GDP,TGO
20761,768,Togo,2005,GDP real rates of growth (percent),-4.6663,GDP,TGO
20768,776,Tonga,2005,GDP in current prices (millions of US dollars),261.5494,GDP,TON
20775,776,Tonga,2005,GDP per capita (US dollars),2592.0363,GDP,TON
20782,776,Tonga,2005,GDP in constant 2010 prices (millions of US dollars),378.2979,GDP,TON
20789,776,Tonga,2005,GDP real rates of growth (percent),1.5809,GDP,TON
20796,780,Trinidad and Tobago,2005,GDP in current prices (millions of US dollars),16025.3465,GDP,TTO
20803,780,Trinidad and Tobago,2005,GDP per capita (US dollars),12360.4487,GDP,TTO
20810,780,Trinidad and Tobago,2005,GDP in constant 2010 prices (millions of US dollars),19863.7461,GDP,TTO
20817,780,Trinidad and Tobago,2005,GDP real rates of growth (percent),6.2098,GDP,TTO
20824,788,Tunisia,2005,GDP in current prices (millions of US dollars),32272.1784,GDP,TUN
20831,788,Tunisia,2005,GDP per capita (US dollars),3193.1245,GDP,TUN
20838,788,Tunisia,2005,GDP in constant 2010 prices (millions of US dollars),32089.4617,GDP,TUN
20845,788,Tunisia,2005,GDP real rates of growth (percent),3.9999,GDP,TUN
20852,792,Turkey,2005,GDP in current prices (millions of US dollars),501422.6056,GDP,TUR
20859,792,Turkey,2005,GDP per capita (US dollars),7384.3445,GDP,TUR
20866,792,Turkey,2005,GDP in constant 2010 prices (millions of US dollars),520146.9561,GDP,TUR
20873,792,Turkey,2005,GDP real rates of growth (percent),9.0099,GDP,TUR
20879,795,Turkmenistan,2005,GDP in current prices (millions of US dollars),14181.321,GDP,TKM
20885,795,Turkmenistan,2005,GDP per capita (US dollars),2982.6239,GDP,TKM
20891,795,Turkmenistan,2005,GDP in constant 2010 prices (millions of US dollars),13348.103,GDP,TKM
20897,795,Turkmenistan,2005,GDP real rates of growth (percent),13.0404,GDP,TKM
20904,796,Turks and Caicos Islands,2005,GDP in current prices (millions of US dollars),578.6458,GDP,TCA
20911,796,Turks and Caicos Islands,2005,GDP per capita (US dollars),20533.9162,GDP,TCA
20918,796,Turks and Caicos Islands,2005,GDP in constant 2010 prices (millions of US dollars),698.0366,GDP,TCA
20925,796,Turks and Caicos Islands,2005,GDP real rates of growth (percent),14.3739,GDP,TCA
20932,798,Tuvalu,2005,GDP in current prices (millions of US dollars),21.6793,GDP,TUV
20939,798,Tuvalu,2005,GDP per capita (US dollars),2167.9348,GDP,TUV
20946,798,Tuvalu,2005,GDP in constant 2010 prices (millions of US dollars),26.9341,GDP,TUV
20953,798,Tuvalu,2005,GDP real rates of growth (percent),-4.1182,GDP,TUV
20960,800,Uganda,2005,GDP in current prices (millions of US dollars),11158.1329,GDP,UGA
20967,800,Uganda,2005,GDP per capita (US dollars),403.045,GDP,UGA
20974,800,Uganda,2005,GDP in constant 2010 prices (millions of US dollars),13435.1908,GDP,UGA
20981,800,Uganda,2005,GDP real rates of growth (percent),10.0074,GDP,UGA
20987,804,Ukraine,2005,GDP in current prices (millions of US dollars),89238.8651,GDP,UKR
20993,804,Ukraine,2005,GDP per capita (US dollars),1903.1221,GDP,UKR
20999,804,Ukraine,2005,GDP in constant 2010 prices (millions of US dollars),100862.7525,GDP,UKR
21005,804,Ukraine,2005,GDP real rates of growth (percent),3.0712,GDP,UKR
21012,784,United Arab Emirates,2005,GDP in current prices (millions of US dollars),182977.7083,GDP,ARE
21019,784,United Arab Emirates,2005,GDP per capita (US dollars),39879.8464,GDP,ARE
21026,784,United Arab Emirates,2005,GDP in constant 2010 prices (millions of US dollars),247156.4041,GDP,ARE
21033,784,United Arab Emirates,2005,GDP real rates of growth (percent),4.8551,GDP,ARE
21040,826,United Kingdom,2005,GDP in current prices (millions of US dollars),2538687.693,GDP,GBR
21047,826,United Kingdom,2005,GDP per capita (US dollars),42109.3689,GDP,GBR
21054,826,United Kingdom,2005,GDP in constant 2010 prices (millions of US dollars),2585096.247,GDP,GBR
21061,826,United Kingdom,2005,GDP real rates of growth (percent),3.1797,GDP,GBR
21096,840,United States of America,2005,GDP in current prices (millions of US dollars),13036637,GDP,USA
21103,840,United States of America,2005,GDP per capita (US dollars),44192.9619,GDP,USA
21110,840,United States of America,2005,GDP in constant 2010 prices (millions of US dollars),15615930.1,GDP,USA
21117,840,United States of America,2005,GDP real rates of growth (percent),3.5132,GDP,USA
21124,858,Uruguay,2005,GDP in current prices (millions of US dollars),17362.8394,GDP,URY
21131,858,Uruguay,2005,GDP per capita (US dollars),5226.9323,GDP,URY
21138,858,Uruguay,2005,GDP in constant 2010 prices (millions of US dollars),33781.3567,GDP,URY
21145,858,Uruguay,2005,GDP real rates of growth (percent),7.4599,GDP,URY
21151,860,Uzbekistan,2005,GDP in current prices (millions of US dollars),17085.0106,GDP,UZB
21157,860,Uzbekistan,2005,GDP per capita (US dollars),646.479,GDP,UZB
21163,860,Uzbekistan,2005,GDP in constant 2010 prices (millions of US dollars),37957.9656,GDP,UZB
21169,860,Uzbekistan,2005,GDP real rates of growth (percent),6.9637,GDP,UZB
21176,548,Vanuatu,2005,GDP in current prices (millions of US dollars),394.9624,GDP,VUT
21183,548,Vanuatu,2005,GDP per capita (US dollars),1887.226,GDP,VUT
21190,548,Vanuatu,2005,GDP in constant 2010 prices (millions of US dollars),553.6317,GDP,VUT
21197,548,Vanuatu,2005,GDP real rates of growth (percent),5.3029,GDP,VUT
21232,704,Viet Nam,2005,GDP in current prices (millions of US dollars),57633.2557,GDP,VNM
21239,704,Viet Nam,2005,GDP per capita (US dollars),687.4797,GDP,VNM
21246,704,Viet Nam,2005,GDP in constant 2010 prices (millions of US dollars),106747.9444,GDP,VNM
21253,704,Viet Nam,2005,GDP real rates of growth (percent),7.5472,GDP,VNM
21259,887,Yemen,2005,GDP in current prices (millions of US dollars),19041.163,GDP,YEM
21265,887,Yemen,2005,GDP per capita (US dollars),946.9725,GDP,YEM
21271,887,Yemen,2005,GDP in constant 2010 prices (millions of US dollars),39376.2002,GDP,YEM
21277,887,Yemen,2005,GDP real rates of growth (percent),5.139,GDP,YEM
21284,894,Zambia,2005,GDP in current prices (millions of US dollars),8331.864,GDP,ZMB
21291,894,Zambia,2005,GDP per capita (US dollars),702.7404,GDP,ZMB
21298,894,Zambia,2005,GDP in constant 2010 prices (millions of US dollars),10686.745,GDP,ZMB
21305,894,Zambia,2005,GDP real rates of growth (percent),7.2356,GDP,ZMB
21336,716,Zimbabwe,2005,GDP in current prices (millions of US dollars),7189.092,GDP,ZWE
21343,716,Zimbabwe,2005,GDP per capita (US dollars),595.2862,GDP,ZWE
21350,716,Zimbabwe,2005,GDP in constant 2010 prices (millions of US dollars),8316.1861,GDP,ZWE
21357,716,Zimbabwe,2005,GDP real rates of growth (percent),-4.0631,GDP,ZWE
21507,4,Afghanistan,2005,Percentage of individuals using the internet,1.2241,INT,AFG
21513,8,Albania,2005,Percentage of individuals using the internet,6.0439,INT,ALB
21519,12,Algeria,2005,Percentage of individuals using the internet,5.8439,INT,DZA
21526,20,Andorra,2005,Percentage of individuals using the internet,37.6058,INT,AND
21532,24,Angola,2005,Percentage of individuals using the internet,1.1434,INT,AGO
21538,660,Anguilla,2005,Percentage of individuals using the internet,29,INT,AIA
21543,28,Antigua and Barbuda,2005,Percentage of individuals using the internet,27,INT,ATG
21549,32,Argentina,2005,Percentage of individuals using the internet,17.7206,INT,ARG
21555,51,Armenia,2005,Percentage of individuals using the internet,5.253,INT,ARM
21561,533,Aruba,2005,Percentage of individuals using the internet,25.4,INT,ABW
21567,36,Australia,2005,Percentage of individuals using the internet,63,INT,AUS
21573,40,Austria,2005,Percentage of individuals using the internet,58,INT,AUT
21580,31,Azerbaijan,2005,Percentage of individuals using the internet,8.0304,INT,AZE
21587,44,Bahamas,2005,Percentage of individuals using the internet,25,INT,BHS
21593,48,Bahrain,2005,Percentage of individuals using the internet,21.3037,INT,BHR
21600,50,Bangladesh,2005,Percentage of individuals using the internet,0.2416,INT,BGD
21606,52,Barbados,2005,Percentage of individuals using the internet,52.5,INT,BRB
21618,56,Belgium,2005,Percentage of individuals using the internet,55.82,INT,BEL
21625,84,Belize,2005,Percentage of individuals using the internet,17,INT,BLZ
21631,204,Benin,2005,Percentage of individuals using the internet,1.271,INT,BEN
21637,60,Bermuda,2005,Percentage of individuals using the internet,65.4471,INT,BMU
21643,64,Bhutan,2005,Percentage of individuals using the internet,3.8471,INT,BTN
21656,70,Bosnia and Herzegovina,2005,Percentage of individuals using the internet,21.3267,INT,BIH
21663,72,Botswana,2005,Percentage of individuals using the internet,3.2626,INT,BWA
21669,76,Brazil,2005,Percentage of individuals using the internet,21.0227,INT,BRA
21679,96,Brunei Darussalam,2005,Percentage of individuals using the internet,36.4664,INT,BRN
21685,100,Bulgaria,2005,Percentage of individuals using the internet,19.97,INT,BGR
21692,854,Burkina Faso,2005,Percentage of individuals using the internet,0.4699,INT,BFA
21698,108,Burundi,2005,Percentage of individuals using the internet,0.5421,INT,BDI
21710,116,Cambodia,2005,Percentage of individuals using the internet,0.3173,INT,KHM
21717,120,Cameroon,2005,Percentage of individuals using the internet,1.4027,INT,CMR
21723,124,Canada,2005,Percentage of individuals using the internet,71.66,INT,CAN
21728,136,Cayman Islands,2005,Percentage of individuals using the internet,38.0344,INT,CYM
21734,140,Central African Republic,2005,Percentage of individuals using the internet,0.2682,INT,CAF
21740,148,Chad,2005,Percentage of individuals using the internet,0.3993,INT,TCD
21746,152,Chile,2005,Percentage of individuals using the internet,31.1753,INT,CHL
21752,156,China,2005,Percentage of individuals using the internet,8.5233,INT,CHN
21772,170,Colombia,2005,Percentage of individuals using the internet,11.0073,INT,COL
21779,174,Comoros,2005,Percentage of individuals using the internet,2,INT,COM
21791,188,Costa Rica,2005,Percentage of individuals using the internet,22.07,INT,CRI
21805,191,Croatia,2005,Percentage of individuals using the internet,33.14,INT,HRV
21812,192,Cuba,2005,Percentage of individuals using the internet,9.7381,INT,CUB
21820,196,Cyprus,2005,Percentage of individuals using the internet,32.81,INT,CYP
21843,208,Denmark,2005,Percentage of individuals using the internet,82.74,INT,DNK
21850,262,Djibouti,2005,Percentage of individuals using the internet,0.9536,INT,DJI
21856,212,Dominica,2005,Percentage of individuals using the internet,38.5436,INT,DMA
21862,214,Dominican Republic,2005,Percentage of individuals using the internet,11.4832,INT,DOM
21869,218,Ecuador,2005,Percentage of individuals using the internet,5.9943,INT,ECU
21875,818,Egypt,2005,Percentage of individuals using the internet,12.75,INT,EGY
21882,222,El Salvador,2005,Percentage of individuals using the internet,4.2,INT,SLV
21888,226,Equatorial Guinea,2005,Percentage of individuals using the internet,1.1498,INT,GNQ
21899,233,Estonia,2005,Percentage of individuals using the internet,61.45,INT,EST
21912,231,Ethiopia,2005,Percentage of individuals using the internet,0.2197,INT,ETH
21918,238,Falkland Islands (Malvinas),2005,Percentage of individuals using the internet,84.0054,INT,FLK
21923,234,Faroe Islands,2005,Percentage of individuals using the internet,67.9026,INT,FRO
21929,242,Fiji,2005,Percentage of individuals using the internet,8.4536,INT,FJI
21935,246,Finland,2005,Percentage of individuals using the internet,74.48,INT,FIN
21942,250,France,2005,Percentage of individuals using the internet,42.87,INT,FRA
21949,258,French Polynesia,2005,Percentage of individuals using the internet,21.5422,INT,PYF
21955,266,Gabon,2005,Percentage of individuals using the internet,4.8933,INT,GAB
21961,270,Gambia,2005,Percentage of individuals using the internet,3.799,INT,GMB
21967,268,Georgia,2005,Percentage of individuals using the internet,6.0795,INT,GEO
21974,276,Germany,2005,Percentage of individuals using the internet,68.71,INT,DEU
21981,288,Ghana,2005,Percentage of individuals using the internet,1.8312,INT,GHA
21987,292,Gibraltar,2005,Percentage of individuals using the internet,39.0701,INT,GIB
21991,300,Greece,2005,Percentage of individuals using the internet,24,INT,GRC
21998,304,Greenland,2005,Percentage of individuals using the internet,57.7034,INT,GRL
22004,308,Grenada,2005,Percentage of individuals using the internet,20.4878,INT,GRD
22010,316,Guam,2005,Percentage of individuals using the internet,38.5599,INT,GUM
22016,320,Guatemala,2005,Percentage of individuals using the internet,5.7,INT,GTM
22022,831,Guernsey,2005,Percentage of individuals using the internet,73.571,INT,GGY
22024,324,Guinea,2005,Percentage of individuals using the internet,0.5423,INT,GIN
22030,624,Guinea-Bissau,2005,Percentage of individuals using the internet,1.9014,INT,GNB
22041,332,Haiti,2005,Percentage of individuals using the internet,6.3762,INT,HTI
22048,340,Honduras,2005,Percentage of individuals using the internet,6.5,INT,HND
22054,348,Hungary,2005,Percentage of individuals using the internet,38.97,INT,HUN
22061,352,Iceland,2005,Percentage of individuals using the internet,87,INT,ISL
22068,356,India,2005,Percentage of individuals using the internet,2.3881,INT,IND
22074,360,Indonesia,2005,Percentage of individuals using the internet,3.602,INT,IDN
22087,368,Iraq,2005,Percentage of individuals using the internet,0.9,INT,IRQ
22094,372,Ireland,2005,Percentage of individuals using the internet,41.61,INT,IRL
22101,376,Israel,2005,Percentage of individuals using the internet,25.194,INT,ISR
22108,380,Italy,2005,Percentage of individuals using the internet,35,INT,ITA
22115,388,Jamaica,2005,Percentage of individuals using the internet,12.8,INT,JAM
22121,392,Japan,2005,Percentage of individuals using the internet,66.9211,INT,JPN
22128,832,Jersey,2005,Percentage of individuals using the internet,31.25,INT,JEY
22130,400,Jordan,2005,Percentage of individuals using the internet,12.9329,INT,JOR
22136,398,Kazakhstan,2005,Percentage of individuals using the internet,2.9617,INT,KAZ
22143,404,Kenya,2005,Percentage of individuals using the internet,3.1019,INT,KEN
22149,296,Kiribati,2005,Percentage of individuals using the internet,4,INT,KIR
22155,414,Kuwait,2005,Percentage of individuals using the internet,25.9261,INT,KWT
22162,417,Kyrgyzstan,2005,Percentage of individuals using the internet,10.5338,INT,KGZ
22174,428,Latvia,2005,Percentage of individuals using the internet,46,INT,LVA
22181,422,Lebanon,2005,Percentage of individuals using the internet,10.14,INT,LBN
22187,426,Lesotho,2005,Percentage of individuals using the internet,2.5802,INT,LSO
22198,434,Libya,2005,Percentage of individuals using the internet,3.9178,INT,LBY
22204,438,Liechtenstein,2005,Percentage of individuals using the internet,63.3714,INT,LIE
22210,440,Lithuania,2005,Percentage of individuals using the internet,36.22,INT,LTU
22217,442,Luxembourg,2005,Percentage of individuals using the internet,70,INT,LUX
22224,450,Madagascar,2005,Percentage of individuals using the internet,0.5677,INT,MDG
22230,454,Malawi,2005,Percentage of individuals using the internet,0.3845,INT,MWI
22236,458,Malaysia,2005,Percentage of individuals using the internet,48.6292,INT,MYS
22243,462,Maldives,2005,Percentage of individuals using the internet,6.8696,INT,MDV
22249,466,Mali,2005,Percentage of individuals using the internet,0.5071,INT,MLI
22255,470,Malta,2005,Percentage of individuals using the internet,41.24,INT,MLT
22262,584,Marshall Islands,2005,Percentage of individuals using the internet,3.8787,INT,MHL
22268,478,Mauritania,2005,Percentage of individuals using the internet,0.67,INT,MRT
22274,480,Mauritius,2005,Percentage of individuals using the internet,15.1722,INT,MUS
22282,484,Mexico,2005,Percentage of individuals using the internet,17.21,INT,MEX
22295,492,Monaco,2005,Percentage of individuals using the internet,55.4648,INT,MCO
22306,499,Montenegro,2005,Percentage of individuals using the internet,27.1,INT,MNE
22314,504,Morocco,2005,Percentage of individuals using the internet,15.0844,INT,MAR
22321,508,Mozambique,2005,Percentage of individuals using the internet,0.8544,INT,MOZ
22326,104,Myanmar,2005,Percentage of individuals using the internet,0.0652,INT,MMR
22332,516,Namibia,2005,Percentage of individuals using the internet,4.01,INT,NAM
22339,524,Nepal,2005,Percentage of individuals using the internet,0.8266,INT,NPL
22345,528,Netherlands,2005,Percentage of individuals using the internet,81,INT,NLD
22352,540,New Caledonia,2005,Percentage of individuals using the internet,32.359,INT,NCL
22357,554,New Zealand,2005,Percentage of individuals using the internet,62.7202,INT,NZL
22363,558,Nicaragua,2005,Percentage of individuals using the internet,2.5664,INT,NIC
22369,562,Niger,2005,Percentage of individuals using the internet,0.2213,INT,NER
22376,566,Nigeria,2005,Percentage of individuals using the internet,3.5492,INT,NGA
22382,570,Niue,2005,Percentage of individuals using the internet,51.7032,INT,NIU
22392,578,Norway,2005,Percentage of individuals using the internet,81.99,INT,NOR
